0,1,0,0,0,1,0,1,1,1,0,1,0,1,0
1,1,1,0,1,1,0,0,1,0,1,0,1,1,1
2,0,1,1,1,1,1,1,1,1,1,0,0,1,0
3,0,0,0,0,1,0,1,1,0,1,0,1,0,1
4,1,0,0,0,0,0,0,0,0,0,0,1,1,0
5,0,1,1,1,0,0,0,1,1,1,0,0,1,1
6,1,0,0,0,1,0,1,0,1,1,0,0,0,1
7,1,1,0,0,0,0,1,1,0,1,0,1,1,1
8,1,1,1,1,1,0,1,1,1,0,1,1,0,1
9,0,1,1,1,0,0,0,0,1,1,1,1,1,1
10,0,1,0,1,0,0,1,0,1,1,1,0,0,1
11,1,1,0,1,1,1,1,1,0,0,0,0,1,1
12,0,0,0,0,0,0,0,0,1,1,1,1,1,1
13,1,1,0,1,1,1,1,1,1,0,1,0,1,1
14,0,1,1,0,0,0,1,0,1,0,0,1,0,0
15,0,1,1,0,0,0,0,1,0,1,0,1,1,0
16,0,0,1,1,1,1,0,1,0,1,1,0,0,1
17,0,0,0,1,0,1,0,1,1,1,1,0,0,1
18,0,0,1,0,0,1,0,1,1,1,0,0,1,0
19,0,0,1,1,0,0,1,1,1,1,1,0,1,1
20,0,0,0,1,0,0,0,1,0,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,0,1,1,0,0,0,1,0,1
23,1,1,1,0,1,1,1,1,1,1,0,0,0,0
24,1,0,1,0,1,1,1,1,1,0,0,0,1,1
25,0,1,1,1,1,0,1,1,0,1,0,1,1,1
26,0,1,1,0,1,0,0,0,0,1,1,1,0,0
27,1,1,0,0,0,1,1,1,0,0,1,0,0,1
28,1,1,0,0,1,1,1,1,1,1,0,0,0,1
29,1,1,1,0,1,1,1,1,1,1,1,0,0,1
30,1,0,1,0,0,0,1,1,0,1,0,0,0,0
31,1,0,0,0,1,1,0,1,0,0,0,0,0,0
32,0,1,0,0,0,0,1,1,0,1,0,0,0,1
33,0,1,0,1,1,1,0,0,1,0,0,1,0,1
34,0,1,0,0,0,0,1,1,1,0,1,0,0,0
35,1,0,0,0,0,1,0,1,0,0,0,1,0,1
36,1,1,0,0,1,0,1,1,1,1,0,0,1,0
37,0,1,0,0,1,0,0,0,1,0,1,0,0,1
38,0,1,0,0,1,1,0,1,0,1,1,0,0,0
39,0,0,1,1,1,0,0,1,0,0,1,0,0,0
40,0,0,1,0,0,0,0,0,0,1,1,1,0,1
41,0,1,0,1,1,0,0,0,0,1,0,0,0,1
42,0,1,0,0,1,1,1,1,0,0,0,0,1,0
43,1,0,0,1,1,1,0,0,0,0,0,0,1,1
44,1,0,0,1,0,1,1,0,0,1,1,0,1,1
45,0,1,1,1,0,1,0,1,0,1,1,1,1,1
46,1,1,0,1,0,0,1,1,1,1,0,0,0,1
47,0,1,1,0,1,1,0,0,0,0,0,1,1,1
48,0,0,1,0,0,0,0,0,1,0,0,1,0,0
49,0,1,1,1,1,0,1,0,0,0,1,0,0,0
50,0,1,1,0,1,1,0,1,1,1,0,1,1,0
51,0,1,0,1,0,1,1,0,1,1,1,1,1,0
52,1,0,0,0,1,1,1,1,0,1,0,0,1,0
53,1,0,1,1,0,0,1,0,0,0,0,0,1,0
54,1,0,0,0,0,0,1,0,1,1,0,0,1,0
